:Data_list: 20130517_Gp_xr_5m.txt
:Created: 2013 May 17 2200 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2013 05 17  0305   56429  11100     1.02e-08    7.40e-07    1.36e-02
2013 05 17  0310   56429  11400     4.95e-09    7.01e-07    7.06e-03
2013 05 17  0315   56429  11700     2.40e-09    6.55e-07    3.63e-03
2013 05 17  0320   56429  12000     1.09e-09    6.46e-07    1.69e-03
2013 05 17  0325   56429  12300     1.00e-09    6.13e-07    1.63e-03
2013 05 17  0330   56429  12600     1.00e-09    5.97e-07    1.68e-03
2013 05 17  0335   56429  12900     2.09e-09    6.13e-07    3.31e-03
2013 05 17  0340   56429  13200     2.62e-09    6.79e-07    3.86e-03
2013 05 17  0345   56429  13500     1.60e-09    6.58e-07    2.40e-03
2013 05 17  0350   56429  13800     1.08e-09    6.27e-07    1.72e-03
2013 05 17  0355   56429  14100     1.15e-09    6.19e-07    1.86e-03
2013 05 17  0400   56429  14400     1.04e-09    6.21e-07    1.67e-03
2013 05 17  0405   56429  14700     1.01e-09    6.13e-07    1.65e-03
2013 05 17  0410   56429  15000     1.02e-09    6.21e-07    1.65e-03
2013 05 17  0415   56429  15300     1.06e-09    6.27e-07    1.70e-03
2013 05 17  0420   56429  15600     1.06e-09    6.01e-07    1.76e-03
2013 05 17  0425   56429  15900     1.05e-09    5.86e-07    1.79e-03
2013 05 17  0430   56429  16200     1.01e-09    5.83e-07    1.74e-03
2013 05 17  0435   56429  16500     1.02e-09    5.95e-07    1.71e-03
2013 05 17  0440   56429  16800     3.51e-07    2.64e-06    1.06e-01
2013 05 17  0445   56429  17100     2.87e-08    1.01e-06    2.85e-02
2013 05 17  0450   56429  17400     1.82e-08    9.62e-07    1.87e-02
2013 05 17  0455   56429  17700     1.06e-08    8.60e-07    1.23e-02
2013 05 17  0500   56429  18000     4.43e-09    7.99e-07    5.51e-03
2013 05 17  0505   56429  18300     2.17e-09    7.53e-07    2.88e-03
2013 05 17  0510   56429  18600     3.47e-09    7.81e-07    4.44e-03
2013 05 17  0515   56429  18900     2.32e-09    7.77e-07    2.98e-03
2013 05 17  0520   56429  19200     7.14e-09    8.46e-07    8.36e-03
2013 05 17  0525   56429  19500     1.12e-08    9.12e-07    1.23e-02
2013 05 17  0530   56429  19800     1.06e-08    9.41e-07    1.13e-02
2013 05 17  0535   56429  20100     1.16e-08    9.52e-07    1.22e-02
2013 05 17  0540   56429  20400     1.33e-08    1.03e-06    1.28e-02
2013 05 17  0545   56429  20700     1.40e-08    1.02e-06    1.37e-02
2013 05 17  0550   56429  21000     1.27e-08    1.03e-06    1.23e-02
2013 05 17  0555   56429  21300     1.81e-08    1.10e-06    1.64e-02
2013 05 17  0600   56429  21600     1.39e-08    1.06e-06    1.30e-02
2013 05 17  0605   56429  21900     8.10e-09    9.83e-07    8.23e-03
2013 05 17  0610   56429  22200     5.72e-09    9.37e-07    6.09e-03
2013 05 17  0615   56429  22500     4.01e-09    9.02e-07    4.45e-03
2013 05 17  0620   56429  22800     6.49e-09    9.17e-07    7.06e-03
2013 05 17  0625   56429  23100     7.76e-09    9.36e-07    8.30e-03
2013 05 17  0630   56429  23400     8.28e-09    9.50e-07    8.72e-03
2013 05 17  0635   56429  23700     9.17e-09    9.55e-07    9.60e-03
2013 05 17  0640   56429  24000     9.05e-09    9.55e-07    9.48e-03
2013 05 17  0645   56429  24300     7.09e-09    9.47e-07    7.49e-03
2013 05 17  0650   56429  24600     1.16e-08    1.02e-06    1.13e-02
2013 05 17  0655   56429  24900     6.32e-09    1.02e-06    6.20e-03
2013 05 17  0700   56429  25200     3.56e-09    9.68e-07    3.67e-03
2013 05 17  0705   56429  25500     5.89e-09    9.39e-07    6.26e-03
2013 05 17  0710   56429  25800     4.95e-09    9.01e-07    5.50e-03
2013 05 17  0715   56429  26100     7.30e-09    9.46e-07    7.71e-03
2013 05 17  0720   56429  26400     7.18e-09    9.84e-07    7.29e-03
2013 05 17  0725   56429  26700     6.61e-09    9.87e-07    6.69e-03
2013 05 17  0730   56429  27000     6.13e-09    9.56e-07    6.38e-03
2013 05 17  0735   56429  27300     3.38e-09    8.93e-07    3.77e-03
2013 05 17  0740   56429  27600     1.38e-09    8.43e-07    1.64e-03
2013 05 17  0745   56429  27900     2.18e-09    8.22e-07    2.66e-03
2013 05 17  0750   56429  28200     3.78e-09    7.97e-07    4.75e-03
2013 05 17  0755   56429  28500     1.59e-09    7.78e-07    2.04e-03
2013 05 17  0800   56429  28800     1.74e-09    7.71e-07    2.26e-03
2013 05 17  0805   56429  29100     1.79e-09    7.75e-07    2.31e-03
2013 05 17  0810   56429  29400     2.41e-09    8.02e-07    2.99e-03
2013 05 17  0815   56429  29700     4.52e-09    8.56e-07    5.25e-03
2013 05 17  0820   56429  30000     1.61e-08    9.83e-07    1.62e-02
2013 05 17  0825   56429  30300     2.14e-08    1.06e-06    2.02e-02
2013 05 17  0830   56429  30600     1.25e-08    9.95e-07    1.26e-02
2013 05 17  0835   56429  30900     2.98e-08    1.13e-06    2.59e-02
2013 05 17  0840   56429  31200     8.73e-08    1.54e-06    5.49e-02
2013 05 17  0845   56429  31500     4.26e-07    3.53e-06    1.10e-01
2013 05 17  0850   56429  31800     3.41e-06    1.65e-05    2.02e-01
2013 05 17  0855   56429  32100     5.64e-06    3.11e-05    1.82e-01
2013 05 17  0900   56429  32400     4.22e-06    2.92e-05    1.45e-01
2013 05 17  0905   56429  32700     3.52e-06    2.63e-05    1.34e-01
2013 05 17  0910   56429  33000     2.59e-06    2.22e-05    1.17e-01
2013 05 17  0915   56429  33300     1.93e-06    1.78e-05    1.08e-01
2013 05 17  0920   56429  33600     1.51e-06    1.47e-05    1.03e-01
2013 05 17  0925   56429  33900     1.19e-06    1.25e-05    9.56e-02
2013 05 17  0930   56429  34200     9.57e-07    1.08e-05    8.89e-02
2013 05 17  0935   56429  34500     7.66e-07    9.32e-06    8.21e-02
2013 05 17  0940   56429  34800     6.23e-07    8.18e-06    7.62e-02
2013 05 17  0945   56429  35100     5.25e-07    7.32e-06    7.17e-02
2013 05 17  0950   56429  35400     4.46e-07    6.57e-06    6.79e-02
2013 05 17  0955   56429  35700     3.75e-07    5.85e-06    6.40e-02
2013 05 17  1000   56429  36000     3.22e-07    5.23e-06    6.15e-02
2013 05 17  1005   56429  36300     2.81e-07    4.67e-06    6.01e-02
2013 05 17  1010   56429  36600     2.50e-07    4.20e-06    5.95e-02
2013 05 17  1015   56429  36900     2.27e-07    3.81e-06    5.94e-02
2013 05 17  1020   56429  37200     2.07e-07    3.49e-06    5.92e-02
2013 05 17  1025   56429  37500     1.92e-07    3.26e-06    5.89e-02
2013 05 17  1030   56429  37800     1.76e-07    3.04e-06    5.78e-02
2013 05 17  1035   56429  38100     1.63e-07    2.86e-06    5.68e-02
2013 05 17  1040   56429  38400     1.48e-07    2.69e-06    5.51e-02
2013 05 17  1045   56429  38700     1.37e-07    2.55e-06    5.39e-02
2013 05 17  1050   56429  39000     1.28e-07    2.43e-06    5.29e-02
2013 05 17  1055   56429  39300     1.15e-07    2.32e-06    4.94e-02
2013 05 17  1100   56429  39600     1.14e-07    2.38e-06    4.80e-02
2013 05 17  1105   56429  39900     1.06e-07    2.35e-06    4.53e-02
2013 05 17  1110   56429  40200     9.34e-08    2.16e-06    4.33e-02
2013 05 17  1115   56429  40500     8.55e-08    2.03e-06    4.21e-02
2013 05 17  1120   56429  40800     7.60e-08    1.92e-06    3.96e-02
2013 05 17  1125   56429  41100     7.00e-08    1.82e-06    3.84e-02
2013 05 17  1130   56429  41400     6.48e-08    1.76e-06    3.69e-02
2013 05 17  1135   56429  41700     6.31e-08    1.69e-06    3.73e-02
2013 05 17  1140   56429  42000     5.59e-08    1.60e-06    3.49e-02
2013 05 17  1145   56429  42300     5.43e-08    1.54e-06    3.54e-02
2013 05 17  1150   56429  42600     5.30e-08    1.48e-06    3.59e-02
2013 05 17  1155   56429  42900     5.09e-08    1.44e-06    3.54e-02
2013 05 17  1200   56429  43200     5.01e-08    1.42e-06    3.52e-02
2013 05 17  1205   56429  43500     5.33e-08    1.38e-06    3.86e-02
2013 05 17  1210   56429  43800     5.01e-08    1.34e-06    3.75e-02
2013 05 17  1215   56429  44100     4.80e-08    1.31e-06    3.68e-02
2013 05 17  1220   56429  44400     4.43e-08    1.27e-06    3.50e-02
2013 05 17  1225   56429  44700     4.16e-08    1.23e-06    3.38e-02
2013 05 17  1230   56429  45000     3.70e-08    1.19e-06    3.10e-02
2013 05 17  1235   56429  45300     3.68e-08    1.21e-06    3.05e-02
2013 05 17  1240   56429  45600     3.69e-08    1.26e-06    2.92e-02
2013 05 17  1245   56429  45900     3.19e-08    1.23e-06    2.60e-02
2013 05 17  1250   56429  46200     2.86e-08    1.15e-06    2.49e-02
2013 05 17  1255   56429  46500     2.78e-08    1.09e-06    2.54e-02
2013 05 17  1300   56429  46800     2.65e-08    1.03e-06    2.57e-02
2013 05 17  1305   56429  47100     2.41e-08    9.95e-07    2.43e-02
2013 05 17  1310   56429  47400     2.30e-08    9.71e-07    2.36e-02
2013 05 17  1315   56429  47700     2.21e-08    9.41e-07    2.35e-02
2013 05 17  1320   56429  48000     2.45e-08    9.40e-07    2.60e-02
2013 05 17  1325   56429  48300     2.62e-08    9.78e-07    2.68e-02
2013 05 17  1330   56429  48600     2.28e-08    9.44e-07    2.42e-02
2013 05 17  1335   56429  48900     2.18e-08    9.19e-07    2.37e-02
2013 05 17  1340   56429  49200     1.95e-08    9.12e-07    2.13e-02
2013 05 17  1345   56429  49500     1.85e-08    8.84e-07    2.09e-02
2013 05 17  1350   56429  49800     1.60e-08    8.47e-07    1.89e-02
2013 05 17  1355   56429  50100     1.58e-08    8.18e-07    1.93e-02
2013 05 17  1400   56429  50400     1.42e-08    8.00e-07    1.78e-02
2013 05 17  1405   56429  50700     1.24e-08    7.85e-07    1.57e-02
2013 05 17  1410   56429  51000     1.04e-08    7.71e-07    1.34e-02
2013 05 17  1415   56429  51300     1.03e-08    7.66e-07    1.35e-02
2013 05 17  1420   56429  51600     9.29e-09    7.59e-07    1.22e-02
2013 05 17  1425   56429  51900     9.74e-09    7.57e-07    1.29e-02
2013 05 17  1430   56429  52200     9.54e-09    7.48e-07    1.28e-02
2013 05 17  1435   56429  52500     8.56e-09    7.33e-07    1.17e-02
2013 05 17  1440   56429  52800     8.39e-09    7.26e-07    1.16e-02
2013 05 17  1445   56429  53100     9.07e-09    7.15e-07    1.27e-02
2013 05 17  1450   56429  53400     7.88e-09    7.15e-07    1.10e-02
2013 05 17  1455   56429  53700     7.22e-09    7.22e-07    1.00e-02
2013 05 17  1500   56429  54000     9.91e-09    7.62e-07    1.29e-02
2013 05 17  1505   56429  54300     9.79e-09    7.93e-07    1.23e-02
2013 05 17  1510   56429  54600     8.17e-09    7.46e-07    1.09e-02
2013 05 17  1515   56429  54900     4.40e-09    7.13e-07    6.16e-03
2013 05 17  1520   56429  55200     3.91e-09    6.93e-07    5.65e-03
2013 05 17  1525   56429  55500     6.38e-09    6.90e-07    9.24e-03
2013 05 17  1530   56429  55800     4.37e-09    6.76e-07    6.45e-03
2013 05 17  1535   56429  56100     6.84e-09    6.57e-07    1.04e-02
2013 05 17  1540   56429  56400     5.33e-09    6.54e-07    8.15e-03
2013 05 17  1545   56429  56700     1.95e-09    6.51e-07    3.00e-03
2013 05 17  1550   56429  57000     3.19e-09    6.51e-07    4.90e-03
2013 05 17  1555   56429  57300     2.85e-09    6.50e-07    4.38e-03
2013 05 17  1600   56429  57600     5.21e-09    6.91e-07    7.38e-03
2013 05 17  1605   56429  57900     1.15e-08    8.26e-07    1.37e-02
2013 05 17  1610   56429  58200     1.03e-08    8.84e-07    1.16e-02
2013 05 17  1615   56429  58500     7.09e-09    7.94e-07    8.94e-03
2013 05 17  1620   56429  58800     5.13e-09    7.48e-07    6.85e-03
2013 05 17  1625   56429  59100     2.33e-09    7.23e-07    3.21e-03
2013 05 17  1630   56429  59400     2.14e-09    7.00e-07    3.07e-03
2013 05 17  1635   56429  59700     3.74e-09    6.99e-07    5.36e-03
2013 05 17  1640   56429  60000     3.43e-09    7.21e-07    4.75e-03
2013 05 17  1645   56429  60300     6.25e-09    7.64e-07    8.15e-03
2013 05 17  1650   56429  60600     1.02e-08    8.27e-07    1.23e-02
2013 05 17  1655   56429  60900     8.61e-09    8.44e-07    1.02e-02
2013 05 17  1700   56429  61200     6.33e-09    8.49e-07    7.46e-03
2013 05 17  1705   56429  61500     7.85e-09    8.51e-07    9.22e-03
2013 05 17  1710   56429  61800     8.81e-09    8.36e-07    1.05e-02
2013 05 17  1715   56429  62100     1.08e-08    8.36e-07    1.29e-02
2013 05 17  1720   56429  62400     9.01e-09    8.39e-07    1.07e-02
2013 05 17  1725   56429  62700     4.25e-09    7.89e-07    5.36e-03
2013 05 17  1730   56429  63000     4.27e-09    7.51e-07    5.67e-03
2013 05 17  1735   56429  63300     4.94e-09    7.34e-07    6.73e-03
2013 05 17  1740   56429  63600     4.96e-09    7.16e-07    6.92e-03
2013 05 17  1745   56429  63900     4.87e-09    7.07e-07    6.89e-03
2013 05 17  1750   56429  64200     7.28e-09    7.00e-07    1.04e-02
2013 05 17  1755   56429  64500     7.54e-09    7.06e-07    1.07e-02
2013 05 17  1800   56429  64800     5.24e-09    7.07e-07    7.42e-03
2013 05 17  1805   56429  65100     7.23e-09    7.06e-07    1.02e-02
2013 05 17  1810   56429  65400     5.93e-09    6.99e-07    8.49e-03
2013 05 17  1815   56429  65700     6.31e-09    7.05e-07    8.96e-03
2013 05 17  1820   56429  66000     1.01e-08    7.47e-07    1.34e-02
2013 05 17  1825   56429  66300     8.19e-09    7.21e-07    1.13e-02
2013 05 17  1830   56429  66600     4.81e-09    6.86e-07    7.01e-03
2013 05 17  1835   56429  66900     5.68e-09    6.69e-07    8.50e-03
2013 05 17  1840   56429  67200     5.26e-09    6.60e-07    7.96e-03
2013 05 17  1845   56429  67500     3.99e-09    6.47e-07    6.16e-03
2013 05 17  1850   56429  67800     3.44e-09    6.36e-07    5.41e-03
2013 05 17  1855   56429  68100     4.24e-09    6.25e-07    6.78e-03
2013 05 17  1900   56429  68400     3.09e-09    6.17e-07    5.01e-03
2013 05 17  1905   56429  68700     3.31e-09    6.04e-07    5.47e-03
2013 05 17  1910   56429  69000     3.14e-09    6.01e-07    5.21e-03
2013 05 17  1915   56429  69300     1.58e-09    6.08e-07    2.60e-03
2013 05 17  1920   56429  69600     1.45e-09    6.02e-07    2.41e-03
2013 05 17  1925   56429  69900     1.21e-09    5.86e-07    2.07e-03
2013 05 17  1930   56429  70200     1.29e-09    5.77e-07    2.24e-03
2013 05 17  1935   56429  70500     1.19e-09    5.83e-07    2.05e-03
2013 05 17  1940   56429  70800     1.03e-09    5.81e-07    1.77e-03
2013 05 17  1945   56429  71100     5.39e-09    6.38e-07    8.03e-03
2013 05 17  1950   56429  71400     3.95e-09    6.32e-07    6.07e-03
2013 05 17  1955   56429  71700     1.66e-09    5.77e-07    2.87e-03
2013 05 17  2000   56429  72000     1.77e-09    5.80e-07    3.04e-03
2013 05 17  2005   56429  72300     1.08e-09    5.80e-07    1.87e-03
2013 05 17  2010   56429  72600     2.54e-09    6.06e-07    4.15e-03
2013 05 17  2015   56429  72900     4.01e-09    6.41e-07    6.26e-03
2013 05 17  2020   56429  73200     1.45e-09    6.34e-07    2.29e-03
2013 05 17  2025   56429  73500     7.46e-09    7.00e-07    1.03e-02
2013 05 17  2030   56429  73800     7.95e-09    7.33e-07    1.08e-02
2013 05 17  2035   56429  74100     3.60e-09    6.70e-07    5.39e-03
2013 05 17  2040   56429  74400     3.19e-09    6.43e-07    4.95e-03
2013 05 17  2045   56429  74700     4.50e-09    6.60e-07    6.80e-03
2013 05 17  2050   56429  75000     2.50e-09    6.46e-07    3.87e-03
2013 05 17  2055   56429  75300     1.96e-09    6.05e-07    3.26e-03
2013 05 17  2100   56429  75600     1.25e-09    5.63e-07    2.22e-03
2013 05 17  2105   56429  75900     1.34e-09    5.39e-07    2.48e-03
2013 05 17  2110   56429  76200     1.16e-09    5.24e-07    2.22e-03
2013 05 17  2115   56429  76500     1.12e-09    5.19e-07    2.17e-03
2013 05 17  2120   56429  76800     1.18e-09    5.21e-07    2.27e-03
2013 05 17  2125   56429  77100     1.04e-09    5.21e-07    1.99e-03
2013 05 17  2130   56429  77400     1.33e-09    5.18e-07    2.58e-03
2013 05 17  2135   56429  77700     2.39e-09    5.14e-07    4.66e-03
2013 05 17  2140   56429  78000     2.11e-09    5.24e-07    4.01e-03
2013 05 17  2145   56429  78300     8.12e-09    6.18e-07    1.29e-02
2013 05 17  2150   56429  78600     1.35e-09    5.49e-07    2.46e-03
2013 05 17  2155   56429  78900     4.85e-09    6.06e-07    7.90e-03
